City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,59.09,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
6,Aleksandrov Gay,RU,51.3,overcast clouds,50.147,48.5704,Gostinitsa
8,Bluff,NZ,54.91,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
12,Carnarvon,AU,64.26,clear sky,-24.8667,113.6333,Hospitality Carnarvon
20,Rikitea,PF,68.86,clear sky,-23.1203,-134.9692,People ThankYou
22,Bethel,US,66.54,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
26,Kaitangata,NZ,61.12,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
29,Torbay,CA,53.28,clear sky,47.6666,-52.7314,Gallows Cove
30,Chuy,UY,58.8,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
31,Hermanus,ZA,56.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
34,Busselton,AU,54.43,clear sky,-33.65,115.3333,Observatory Guest House
35,Los Llanos De Aridane,ES,69.12,mist,28.6585,-17.9182,Valle Aridane
36,Haines Junction,CA,51.75,overcast clouds,60.7522,-137.5108,Parkside Inn
37,Clinton,US,59.32,broken clouds,42.587,-82.9199,River's Edge
41,Ponta Delgada,PT,67.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
47,Port Alfred,ZA,59.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
52,Mataura,NZ,65.82,broken clouds,-46.1927,168.8643,Ellie's Villa
55,Cidreira,BR,61.88,overcast clouds,-30.1811,-50.2056,Hotel Castelo
56,Totesti,RO,57.65,overcast clouds,45.5667,22.8833,Casa Domnitei
58,Severo-Kurilsk,RU,51.17,overcast clouds,50.6789,156.125,Kak Doma
60,Terrace Bay,CA,51.24,overcast clouds,48.7834,-87.1,Drifters Motel & Restaurant
61,Vila Velha,BR,69.75,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
62,Betanzos,ES,60.1,clear sky,43.2804,-8.2147,Hotel Garelos Betanzos
63,Castro,BR,51.8,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
66,Port Lincoln,AU,56.93,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
69,Jamestown,US,59.52,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
70,Dongning,CN,62.13,clear sky,44.0622,131.1207,Huayu Hotel
71,Waiouru,NZ,58.24,overcast clouds,-39.4833,175.6667,Tawhiri
74,Kodiak,US,51.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
76,Miyazu,JP,70.0,broken clouds,35.5333,135.1833,Seikiro
77,Norman Wells,CA,51.84,few clouds,65.282,-126.8329,Heritage Hotel
78,Hobart,AU,60.66,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
85,New Norfolk,AU,60.3,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
86,Christiana,ZA,68.45,few clouds,-27.914,25.1611,At-Neli Guesthouse
89,Kitimat,CA,61.18,overcast clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
92,Saldanha,ZA,55.45,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
106,Arraial Do Cabo,BR,69.03,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
109,Petawawa,CA,50.38,light rain,45.9001,-77.3328,Petawawa River Inn & Suites
110,Mahenge,TZ,60.62,few clouds,-8.6833,36.7167,Mahenge ulanga
111,Port Elizabeth,ZA,61.32,scattered clouds,-33.918,25.5701,39 On Nile Guest House
113,Hami,CN,67.89,clear sky,42.8,93.45,Laoyutang Resort
114,Bredasdorp,ZA,53.82,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
131,Wuda,CN,63.01,clear sky,39.4994,106.7117,Grape Sightseeing Garden
133,Marneuli,GE,52.54,clear sky,41.4759,44.8089,KavKaz Hotel & Restaurant
134,Puerto Ayora,EC,69.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
136,Hovd,MN,52.11,few clouds,48.0056,91.6419,Hotel Buyant
144,Shelburne,CA,52.59,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
148,East London,ZA,65.44,broken clouds,-33.0153,27.9116,Tu Casa
149,Kruisfontein,ZA,56.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
152,Bonavista,CA,54.0,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
155,Calama,CL,54.09,clear sky,-22.4667,-68.9333,Park Hotel Calama
161,Ulladulla,AU,60.96,light rain,-35.35,150.4667,Sandpiper Motel
165,Fortuna,US,68.09,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
166,Lakes Entrance,AU,62.17,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
167,Cedar Falls,US,66.22,clear sky,42.5278,-92.4455,"Country Inn & Suites by Radisson, Cedar Falls, IA"
168,Chiredzi,ZW,69.37,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
171,Sitka,US,55.29,light rain,57.0531,-135.33,Westmark Sitka
176,Arica,CL,59.23,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
179,Benguela,AO,69.94,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
184,Yingkou,CN,64.45,clear sky,40.6648,122.2283,Yingkou Juyin Junyue Hotel
185,Coquimbo,CL,53.33,clear sky,-29.9533,-71.3436,Hotel San Juan
187,Birin,NP,59.76,overcast clouds,26.8865,88.0718,Sangam Hospitality
190,Anzio,IT,67.32,broken clouds,41.4853,12.6179,Hotel Lido Garda
194,Mar Del Plata,AR,55.09,fog,-38.0023,-57.5575,Gran Hotel Mar del Plata
198,Preeceville,CA,57.76,broken clouds,51.95,-102.6677,Golden West Hotel
199,Arrecife,ES,69.78,few clouds,28.963,-13.5477,Hotel Lancelot
200,Uglovoye,RU,64.44,scattered clouds,43.3289,132.0917,Negus
201,Mount Gambier,AU,50.61,overcast clouds,-37.8333,140.7667,The Commodore
204,Niksic,ME,61.66,overcast clouds,42.7731,18.9445,Hotel Trebjesa
207,Lima,PE,61.9,overcast clouds,-12.0432,-77.0282,Hotel Kamana
208,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,Le four à pain
209,Flin Flon,CA,50.23,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
213,Saint-Pierre,RE,65.88,few clouds,-21.3393,55.4781,Alize Plage
222,Florianopolis,BR,56.43,moderate rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
227,Roald,NO,54.52,light rain,62.5833,6.1333,Flem Cabins
230,Adeje,ES,68.92,overcast clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
232,Inverell,AU,67.66,broken clouds,-29.7833,151.1167,Sapphire City Motor Inn
233,Abha,SA,62.85,clear sky,18.2164,42.5053,Abha Hotel
237,Bronte,IT,63.09,overcast clouds,37.7895,14.8342,Alle Cordate dell'Etna
246,Zatoka,UA,65.46,overcast clouds,46.0725,30.4654,Sonyachna
251,Asau,RO,51.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
