City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,59.09,83,40,3.44,scattered clouds
1,Avarua,CK,-21.2078,-159.775,78.85,73,40,13.8,scattered clouds
2,Butaritari,KI,3.0707,172.7902,81.7,71,13,11.39,few clouds
3,Dikson,RU,73.5069,80.5464,32.5,79,100,16.87,overcast clouds
4,Sur,OM,22.5667,59.5289,83.14,65,6,8.95,clear sky
5,Kroya,ID,-7.6331,109.2461,78.24,81,94,8.77,overcast clouds
6,Aleksandrov Gay,RU,50.147,48.5704,51.3,74,100,16.71,overcast clouds
7,Guerrero Negro,MX,27.9769,-114.0611,76.96,73,0,15.28,clear sky
8,Bluff,NZ,-46.6,168.3333,54.91,75,77,3.27,broken clouds
9,Berlevag,NO,70.8578,29.0864,42.8,75,0,5.75,clear sky
10,Atuona,PF,-9.8,-139.0333,76.91,77,26,18.79,light rain
11,Albany,US,42.6001,-73.9662,62.37,89,97,4.74,overcast clouds
12,Carnarvon,AU,-24.8667,113.6333,64.26,45,1,21.25,clear sky
13,Pandan,PH,14.0453,124.1694,82.44,79,100,9.73,overcast clouds
14,Lusambo,CD,-4.9667,23.45,69.22,92,100,0.29,overcast clouds
15,Banda Aceh,ID,5.5577,95.3222,79.11,77,100,11.27,overcast clouds
16,Alofi,NU,-19.0595,-169.9187,82.29,69,100,3.44,overcast clouds
17,Pangnirtung,CA,66.1451,-65.7125,38.25,55,100,2.1,overcast clouds
18,Punta Arenas,CL,-53.15,-70.9167,44.71,76,75,5.75,broken clouds
19,Vaini,TO,-21.2,-175.2,78.96,83,75,9.22,broken clouds
20,Rikitea,PF,-23.1203,-134.9692,68.86,60,0,15.68,clear sky
21,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,75,100,8.05,overcast clouds
22,Bethel,US,41.3712,-73.414,66.54,82,0,6.91,clear sky
23,Constitucion,CL,-35.3333,-72.4167,48.79,79,49,7.99,scattered clouds
24,Katherine,AU,-14.4667,132.2667,89.92,43,58,11.5,broken clouds
25,Ust-Nera,RU,64.5667,143.2,29.75,84,75,2.1,broken clouds
26,Kaitangata,NZ,-46.2817,169.8464,61.12,63,66,3.98,broken clouds
27,Mahebourg,MU,-20.4081,57.7,70.25,83,20,8.05,few clouds
28,Nchelenge,ZM,-9.3451,28.734,74.77,47,63,0.74,broken clouds
29,Torbay,CA,47.6666,-52.7314,53.28,85,0,16.11,clear sky
30,Chuy,UY,-33.6971,-53.4616,58.8,80,99,12.21,overcast clouds
31,Hermanus,ZA,-34.4187,19.2345,56.8,88,100,8.1,overcast clouds
32,Georgetown,MY,5.4112,100.3354,80.53,88,20,2.3,few clouds
33,Nuuk,GL,64.1835,-51.7216,45.21,93,100,3.44,light intensity drizzle rain
34,Busselton,AU,-33.65,115.3333,54.43,77,0,4.81,clear sky
35,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,97,100,17.27,mist
36,Haines Junction,CA,60.7522,-137.5108,51.75,46,100,6.91,overcast clouds
37,Clinton,US,42.587,-82.9199,59.32,78,75,14.97,broken clouds
38,Pavino,RU,59.1139,46.1414,43.79,93,100,10.45,light rain
39,Aklavik,CA,68.2191,-135.0107,38.57,79,100,0.78,overcast clouds
40,Kapaa,US,22.0752,-159.319,85.19,70,0,8.05,clear sky
41,Ponta Delgada,PT,37.7333,-25.6667,67.5,68,20,6.91,few clouds
